Model,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC,TT (Sec)
Gradient Boosting Classifier,0.9984,1.0,0.9984,0.9984,0.9984,0.9967,0.9967,0.267
Random Forest Classifier,0.998,1.0,0.998,0.998,0.998,0.996,0.996,0.077
Ada Boost Classifier,0.998,0.9998,0.998,0.998,0.998,0.996,0.996,0.071
Decision Tree Classifier,0.9976,0.9976,0.9976,0.9976,0.9976,0.9953,0.9953,0.01
Light Gradient Boosting Machine,0.9975,0.9996,0.9975,0.9975,0.9975,0.9949,0.9949,0.106
Extra Trees Classifier,0.9909,0.9999,0.9909,0.991,0.9909,0.9818,0.982,0.047
Logistic Regression,0.9578,0.9923,0.9578,0.9585,0.9578,0.9157,0.9163,0.486
SVM - Linear Kernel,0.9517,0.9901,0.9517,0.9521,0.9517,0.9033,0.9037,0.008
Naive Bayes,0.9506,0.9855,0.9506,0.9507,0.9506,0.9012,0.9013,0.008
K Neighbors Classifier,0.9212,0.9748,0.9212,0.9301,0.9207,0.8423,0.8512,0.247
Linear Discriminant Analysis,0.9155,0.9811,0.9155,0.9262,0.915,0.831,0.8416,0.008
Ridge Classifier,0.915,0.9811,0.915,0.9259,0.9144,0.8299,0.8408,0.008
Quadratic Discriminant Analysis,0.7616,0.8077,0.7616,0.7795,0.7551,0.5231,0.5393,0.008
Dummy Classifier,0.4996,0.5,0.4996,0.2496,0.3329,0.0,0.0,0.008
